epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7723.76,0.69191,0.68604,0.90824,0.85818,0.89641,0.92176,0.75902,0.73695,0.66069,0.90234,0.000156248,0.000156248,0.000156248
43,7908.98,0.69645,0.6949,0.90792,0.86974,0.86147,0.91983,0.7581,0.76001,0.66649,0.90646,0.000153645,0.000153645,0.000153645
44,8093.16,0.68237,0.66295,0.90458,0.8956,0.85884,0.9161,0.75605,0.74377,0.67963,0.91032,0.000151041,0.000151041,0.000151041
45,8277.96,0.67719,0.65692,0.91212,0.87592,0.85694,0.90997,0.76065,0.74697,0.70808,0.91051,0.000148437,0.000148437,0.000148437
46,8461.3,0.68692,0.66674,0.89683,0.87794,0.85288,0.90901,0.76271,0.73596,0.72112,0.90541,0.000145834,0.000145834,0.000145834
47,8645.91,0.69568,0.67338,0.91119,0.89068,0.85448,0.917,0.76225,0.74664,0.68882,0.90475,0.00014323,0.00014323,0.00014323
48,8831.87,0.66539,0.64021,0.89138,0.90451,0.86868,0.91886,0.76854,0.73983,0.66204,0.90453,0.000140626,0.000140626,0.000140626
49,9014.75,0.67261,0.64271,0.90218,0.88635,0.89126,0.92134,0.76959,0.72555,0.65687,0.89965,0.000138022,0.000138022,0.000138022
50,9197.23,0.65728,0.63524,0.89508,0.86994,0.8741,0.91537,0.76399,0.74213,0.67047,0.90568,0.000135419,0.000135419,0.000135419
51,9381.96,0.67019,0.61264,0.89327,0.87976,0.86557,0.91146,0.75904,0.7362,0.67516,0.89932,0.000132815,0.000132815,0.000132815
52,9567.35,0.67292,0.63809,0.90218,0.87791,0.8687,0.9067,0.75095,0.74071,0.68567,0.90173,0.000130211,0.000130211,0.000130211
53,9751.77,0.65363,0.64668,0.9031,0.88478,0.88014,0.90746,0.7546,0.72816,0.67894,0.89994,0.000127608,0.000127608,0.000127608
54,9935.6,0.66157,0.63297,0.89664,0.90117,0.8593,0.91375,0.76133,0.72855,0.67985,0.89843,0.000125004,0.000125004,0.000125004
55,10120.9,0.65594,0.62932,0.90147,0.89916,0.84775,0.91699,0.76251,0.72805,0.6672,0.89629,0.0001224,0.0001224,0.0001224
56,10306.9,0.6745,0.64895,0.90503,0.88975,0.87832,0.91547,0.75551,0.73734,0.66926,0.90271,0.000119796,0.000119796,0.000119796
57,10490.5,0.64287,0.60329,0.90017,0.89504,0.88186,0.91329,0.75552,0.73325,0.65704,0.90049,0.000117193,0.000117193,0.000117193
58,10674.3,0.6522,0.61097,0.89797,0.90048,0.88851,0.9212,0.76835,0.72552,0.6458,0.89719,0.000114589,0.000114589,0.000114589
59,10858.7,0.64227,0.58514,0.88938,0.90155,0.89105,0.92162,0.76844,0.72683,0.66038,0.89897,0.000111985,0.000111985,0.000111985
60,11045.5,0.61919,0.56489,0.88962,0.90004,0.8841,0.9226,0.76865,0.72162,0.6332,0.89813,0.000109382,0.000109382,0.000109382
61,11229.2,0.64686,0.59534,0.90164,0.90992,0.85485,0.91962,0.75966,0.74734,0.64673,0.90633,0.000106778,0.000106778,0.000106778
62,11413.6,0.65098,0.60761,0.89815,0.89913,0.87569,0.9158,0.75856,0.72979,0.63695,0.90173,0.000104174,0.000104174,0.000104174
63,11602,0.62768,0.58433,0.88582,0.90762,0.87712,0.91857,0.76114,0.73602,0.61532,0.90373,0.000101571,0.000101571,0.000101571
64,11787.4,0.62094,0.58387,0.88863,0.89752,0.89355,0.91952,0.76031,0.73389,0.60999,0.90434,9.89669e-05,9.89669e-05,9.89669e-05
65,11972.8,0.6289,0.58584,0.88642,0.90057,0.89493,0.92037,0.76166,0.74345,0.63551,0.90571,9.63632e-05,9.63632e-05,9.63632e-05
66,12159.5,0.61917,0.59493,0.89482,0.90491,0.88772,0.91928,0.76089,0.7372,0.63284,0.90312,9.37595e-05,9.37595e-05,9.37595e-05
67,12342.7,0.63138,0.60894,0.88322,0.90599,0.88853,0.92233,0.7667,0.7268,0.62652,0.90175,9.11558e-05,9.11558e-05,9.11558e-05
68,12525.4,0.63954,0.59373,0.88894,0.90079,0.89382,0.92904,0.77188,0.72906,0.62137,0.90223,8.85521e-05,8.85521e-05,8.85521e-05
69,12710.2,0.64655,0.61882,0.90544,0.90543,0.89198,0.92584,0.7729,0.72864,0.61892,0.89952,8.59484e-05,8.59484e-05,8.59484e-05
70,12893.1,0.61092,0.54019,0.88055,0.89949,0.89636,0.9201,0.76675,0.73748,0.62397,0.8988,8.33447e-05,8.33447e-05,8.33447e-05
71,13078.1,0.61209,0.54315,0.88627,0.89994,0.89626,0.91732,0.76239,0.72748,0.63497,0.89518,8.0741e-05,8.0741e-05,8.0741e-05
72,13261.6,0.62024,0.59456,0.88735,0.88697,0.88929,0.91327,0.75458,0.72967,0.65653,0.89813,7.81373e-05,7.81373e-05,7.81373e-05
73,13444.6,0.62078,0.57827,0.88278,0.89364,0.88236,0.91253,0.7607,0.72651,0.64358,0.89951,7.55336e-05,7.55336e-05,7.55336e-05
74,13626.8,0.61794,0.55917,0.88457,0.90063,0.87958,0.9156,0.75891,0.73781,0.64091,0.90287,7.29299e-05,7.29299e-05,7.29299e-05
